team_id1,team_id2
1,84
1,41
1,36
1,17
1,80
1,100
1,11
1,88
1,53
1,85
1,138
1,122
1,130
1,70
1,57
1,130
1,142
1,96
1,105
1,143
1,74
2,146
2,65
2,141
2,35
2,46
2,66
2,129
2,70
2,38
2,119
2,48
2,4
2,96
2,80
2,20
2,115
2,109
2,90
2,130
2,144
2,125
2,79
2,42
2,34
2,62
2,116
2,82
2,87
2,16
2,48
2,90
3,56
3,111
3,41
3,105
3,89
3,44
3,54
3,114
3,123
3,127
3,24
3,138
3,102
3,33
4,128
4,80
4,126
4,37
4,97
4,17
4,64
4,92
4,46
4,58
4,103
4,125
4,73
4,71
4,105
4,79
4,76
4,138
4,128
4,80
4,66
4,98
4,123
4,70
4,38
4,119
4,48
4,96
4,80
4,73
4,95
4,24
4,131
5,36
5,74
5,45
5,138
5,25
5,13
5,37
5,48
5,108
5,116
5,26
5,141
5,145
5,148
5,25
5,34
5,80
5,59
5,8
6,13
6,75
6,100
6,38
6,126
6,84
6,131
6,92
6,58
6,48
6,135
6,95
6,148
6,73
6,11
6,53
6,20
6,90
6,91
6,37
7,76
7,40
7,21
7,69
7,110
7,130
7,43
7,74
7,81
7,140
7,79
7,113
8,141
8,66
8,46
8,80
8,116
8,109
8,14
8,107
8,80
8,59
8,86
8,71
8,58
8,109
8,11
8,76
8,75
8,75
8,56
8,16
8,106
8,108
8,76
8,77
8,122
8,100
9,94
9,65
9,126
9,49
9,43
9,40
9,110
9,61
9,41
9,66
9,82
9,133
9,70
9,56
9,79
9,62
9,43
9,28
10,73
10,99
10,76
10,123
10,32
10,102
11,88
11,53
11,85
11,138
11,18
11,122
11,67
11,147
11,48
11,49
11,19
11,15
11,13
11,15
11,113
11,89
11,75
11,23
11,148
11,73
11,53
11,48
11,67
11,28
12,22
12,51
12,115
12,18
12,92
13,37
13,48
13,108
13,42
13,52
13,45
13,75
13,15
13,113
13,89
13,75
13,23
13,101
13,62
13,146
13,114
13,122
13,52
13,141
13,18
13,42
13,52
13,45
13,92
13,28
13,23
13,51
13,20
14,109
14,107
14,89
14,19
14,16
14,108
14,145
14,85
14,106
14,105
14,50
14,66
14,118
14,144
14,93
15,41
15,113
15,101
15,145
15,106
15,132
15,34
15,125
15,44
15,43
15,113
15,89
15,75
15,23
15,134
15,107
15,105
15,77
15,126
15,118
15,37
15,52
15,123
15,140
15,24
15,43
15,111
15,120
15,61
15,133
15,41
15,19
15,34
15,62
15,86
15,102
15,118
16,103
16,138
16,127
16,92
16,98
16,47
16,75
16,114
16,104
16,95
16,23
16,59
16,35
16,62
16,54
16,52
16,87
16,48
16,29
16,111
16,88
16,59
16,32
16,108
16,98
16,89
16,19
16,108
16,76
16,75
16,75
16,56
16,106
17,122
17,144
17,126
17,37
17,97
17,64
17,89
17,120
17,91
17,36
17,80
17,100
18,32
18,138
18,19
18,33
18,122
18,92
18,77
18,23
18,91
18,48
18,77
18,76
18,38
18,23
18,144
18,130
18,45
18,48
18,94
18,33
18,88
18,146
18,76
18,51
18,105
18,148
18,143
18,23
18,74
18,103
19,55
19,117
19,22
19,29
19,55
19,83
19,28
19,120
19,32
19,80
19,127
19,120
19,75
19,139
19,102
19,22
19,73
19,134
19,89
19,108
19,147
19,143
19,141
19,32
19,138
19,33
20,115
20,109
20,90
20,130
20,144
20,90
20,28
20,122
20,144
20,70
20,123
20,51
20,63
20,89
20,98
20,41
20,51
20,108
20,99
21,90
21,45
21,99
21,66
21,46
21,37
21,38
21,129
21,94
21,85
21,129
21,96
21,37
21,90
21,115
21,76
21,40
21,96
22,41
22,57
22,57
22,70
22,51
22,115
22,55
22,117
22,29
22,55
22,83
22,140
22,114
22,120
22,75
22,139
22,102
22,73
22,134
22,70
22,101
22,43
22,80
22,50
22,104
22,122
22,103
22,110
22,82
22,77
22,94
22,83
23,82
23,146
23,134
23,43
23,77
23,43
23,95
23,59
23,35
23,62
23,54
23,52
23,77
23,91
23,48
23,77
23,84
23,29
23,106
23,107
23,54
23,133
23,134
23,83
23,109
23,76
23,38
23,144
23,143
23,74
23,47
23,108
23,113
23,89
23,75
23,92
23,28
24,43
24,111
24,138
24,102
24,33
24,100
24,67
24,37
24,71
24,58
24,73
24,95
24,131
24,64
24,98
25,59
25,149
25,74
25,112
25,73
25,64
25,141
25,145
25,148
25,34
25,82
25,68
25,138
25,87
25,37
25,101
25,93
26,73
26,60
26,95
26,116
27,68
27,74
27,94
